ירושלים	2925533
ליוורנו	98182
זאלקווא	-1
ווארשא	756135
טריפולי	-1
ווילנא	593116
לובלין	756135
קראקא	3094802
נאווי דוואהר	-1
וויניציאה	3164603
זולצבאך	-1
וינה	-1
קיעוו	703448
מאסקווע	524901
חוסט	-1
דירנפורט	-1
לודז'	3093133
דראהאביטש	709611
פיורדה	2923544
ירושלם	2643743
קושטאנדינה	-1
קאלאמיי	-1
אמשטרדם	2759794
ווילנע	593116
קולומאה	-1
קאפוסט	-1
ויניציאה	3164603
הוראדנא	627904
אוסטרוג	-1
פרנקפורט דמין	2925533
למברג	702550
לאדז'	3093133
תל אביב	-1
בגדאד	98182
סלאוויטא	-1
תונס	2464470
יפו-תל-אביב	-1
זיטאמיר	593116
שעדלעץ	759412
ריגע	-1
פרעמישלא	761168
אוסטרהא	-1
שקלאוו	-1
בילגורי	775922
ווארשע	756135
לעמבערג	702550
פריס	2988507
סיגעט	667227
לבוב	702550
בילגורייא	775922
פיעטרקוב	756135
רעטיאג	-1
פרנקפורט דאודר	2925535
פיטרקוב	-1
מונקאטש	700646
ברדיטשוב	712441
לאדזש	3093133
תל-אביב	-1
ולנא	593116
יוזעפאף	-1
קראטאשין	2925533
דיהרנפורט	3067696
זאלקווי	-1
אוסרטהא	-1
נעוו-יארק	-1
מינקוביץ	-1
פראג	3067696
דובנא	709540
פולנאה	-1
שקלאב	-1
פלטבה	696643
בארג	3067696
פראמפאל	-1
טשערנאוויץ	702550
ווארשי	756135
בערעזנע	-1
פטרבורג	498817
פרג	3067696
חיפה	-1
ז'יטומיר	703448
פאקש	-1
ניו-יארק	593116
פאריס	2988507
ניו יארק	593116
בערלין	2879139
ניו יורק	-1
קניגסברג	554234
פראנקפורט א. מ.	2925533
ברלין	3060972
ורשה	756135
ראמאן	668732
לונדון	2643743
רודוס	-1
קרקוב	3094802
ווארשה	756135
פקש	-1
מנטובה	3174051
וויען	3060972
יפו	-1
ברוד	711416
סונצין	-1
וורשא	756135
גבעת ברנר	-1
אודסה	698740
"ס""ט פטרבורג"	498817
רעדעלהיים	2643743
וילנה	593116
פראור	-1
מינסק	-1
סלאנים	621754
האמבורג	2911298
כלכתה	-1
סדילקוב	-1
לאדז	3093133
קונסטאנטינופלה	-1
ברעסלוי	3081368
לאנדאן	2643743
פרעסבורג	3060972
צנז	-1
צפת	-1
הוסיאטין	702550
ניוארק	-1
ווילנה	593116
ונזבק	-1
כארקאוו	706483
אדעס	698740
טורונטו	6167865
טאראנטא	6167865
סידלקאב	-1
סאלוניקו	734077
ווינא	-1
נויארק	4930956
קאלאמיא	-1
אדעססא	698740
קשיניב	-1
פינסק	-1
ווין	524901
הורדנה	627904
וילהרמסדורף	-1
בריסק	629634
קושטנידנה	-1
זאלקוי	-1
אזמיר	311046
מ' סיגעט	667227
נא אמון	347342
פראנקפורט	2925533
מיץ	2994160
קיידאן	598272
אנטווערפן.	2803138
קמניץ	-1
לעמברג	702550
ביאליסטאק	776069
סנט פטרבורג	498817
בודאפעשט	3054643
ווענגראב	756046
בארדיטשב	712441
איזמירנה	311046
יס	675810
סדילקאב	-1
ויניזיא	3164603
ווילהרמרש דארף	-1
פונא	-1
פאדובה	3171728
ג'רבה	2464470
קהיר	360630
ב'יינה	-1
אויגשפורג	-1
וינא	-1
אלכסנדריה	347342
מינכען	-1
טשערנאוויטץ	-1
דובנה	709540
פרנקבורט דמיין	2925533
פשעמישל	761168
אנטווערפן	2803138
אוסטרה	-1
בומבי	-1
שקלוב	-1
אמסטרדם	2759794
קושטא	-1
טארנאפאל	691650
שאלוניקי	734077
פיזה	3170647
סוסה	-1
לונדן	2643743
ליק	-1
דעווא	-1
ליייפציג	2879139
"אר""ץ"	-1
ליפסיה	2879139
סלאוויטה	-1
אמשטירדם	2759794
ג'נבה	-1
פיעטרוקב	-1
נויורק	2879139
בערעסטעטשקא	-1
בני ברק	-1
יאנוב	770473
ויניציזא	3164603
קאיירו	360630
ארם צובה	-1
וניציאה	3164603
אלג'יר	-1
בארדיטשוב	712441
אופנבך	6559110
פיסא	3170647
שאראיי	-1
ריגא	-1
קובנה	598316
פרמישלה	761168
לומזה	766027
טירנוי	3057124
קישינוב	-1
ברעסלויא	3081368
זיטומיר	-1
וויזניטץ	689434
וויזניץ	689434
ברין	3078610
נובי דבור	-1
ויניציה	3164603
קורפו	2463679
ברילאן	-1
תלמסאן	2475687
ניב'ייורק	-1
פיורדא	2923544
קארלסרוא	2892794
"פ""פ דאדר"	2925535
פאלטאווא	696643
אמשטירדאם	2759794
רעדלהיים	-1
וינציאה	3164603
באסיליא	-1
סאלוניקי	734077
דעסויא	-1
מונקץ'	700646
ריוה די טרנטו	-1
דיהרן פארט	-1
זבריז	-1
אויביבאך	6559110
במביי	-1
סטאניסלאב	707471
הומבורג	2911298
בילוגראדו	792680
האנווא	-1
קאוונע	598316
טאלין	588409
אסכנדריה	347342
קאליש	3096880
קאהיר	360630
סופיה	727011
וולינע	593116
סופיאה	727011
ראדזין	-1
קראקוי	3094802
האווי דוואהר	-1
סמרקנד	-1
האמעל	627907
באלקאני	-1
שיקאגא	4887398
בארדיוב	-1
ריווא דטרינטו	-1
רוסג'וק	2844588
פתח תקוה	293918
קוספולי	-1
קושטאנטינה	-1
פיטרבורג	498817
שאלוניקו	734077
קאנטאבריגיא	-1
פירינצי	3176959
אפען	3054643
קוסטאנדינה	-1
קרשאנוב	-1
פרסבורג	3060972
מץ	2994160
שטעטטין	-1
רומא	3169070
סאטו-מארע	-1
פיוטרקוב	-1
קאוונא	598316
מצרים	360630
במבי	-1
וירונה	3164527
בארטפעלד	-1
יאסי	675810
לאורנו	-1
איזמיר	311046
סאטמאר	667873
פאריש	2988507
שנגהאי	-1
פראנקפורט דמיין	2925533
דרוהוביץ	709611
כארקוו	3094802
פרנקפורט דמיין	2925533
קרמונה	6541851
אודיסא	698740
פאריז	2988507
מוסקוה	524901
"פ""פ דאדרה"	2925535
כאזאבלאנכא	2553604
מרראקס	6547285
וויענא	-1
מנשיסטיר	-1
אפענבנאך	6559110
בודאפעסט	3054643
נוא-יארק	-1
פראנפורט דמיין	2925533
מינקאוויץ	-1
יוזפוף	711416
לינעוויל	-1
באסיליאה	-1
בולונייא	3181928
שילוניקי	734077
"אמד""ם"	2759794
קושטנדינא	-1
פירארה	-1
ויניצייא	3164603
אופנבאך	6559110
שיקאגע	4887398
דעווה	-1
אדעסא	698740
לפסיא	2879139
האללע	-1
באסטאן	4930956
ווארשוי	756135
לעבערג	702550
בסליאה	-1
קוגין	-1
ביינה	-1
באסעל	-1
סביונטה	-1
וינידיג	3164603
בוענאס איירעס	3435910
וויטעבסק	620127
נייאי וויט	2863840
דסאו	-1
קרימונה	6541851
יעסניץ	2894948
גוזלווא	688105
גראיעווא	-1
סביוניטה	-1
אופיבאך	6559110
קאניגסבערג	554234
הענוויא	-1
המבורגו	2911298
טראנאפול	691650
פילאדילפיא	-1
קאלאמעא	700646
המבורג	2911298
זאלקווייא	-1
האלברשטאדט	-1
הנובר	2910831
טבריא	293322
פאדגורזע	-1
פרנקפורט דאדרא	2925535
בוטשאטש	-1
למעבערג	702550
אפענבאך	6559110
לנדון	2643743
פילאדלפיא	-1
פירטה	2923544
פראנקפורט א.מ.	2925533
לייפציג	2879139
קצונטינא	-1
בארדיאב	-1
סנט לואיס	-1
מעזיראוב	-1
גאלאטה	-1
פרנקפורט דאדרה	2925535
קעטשקעמעט	-1
קורוגישמי	-1
ויין	-1
אוקספורד	2640729
קעניגסבערג	554234
בוקרשט	683506
וורשה	756135
בירות	-1
ליפציג	2879139
אלטונא	-1
קושטאנדינא	734077
ווירסייליס	-1
אמשטלרדם	2759794
"פרנקפורט ע""נ מין"	2925533
אוביבאך	6559110
מראכש	6547285
בגדד	98182
סט. לואיס	-1
ווילהרמש דארף	-1
דעסוי	-1
בזילאה	-1
כלכתא	-1
ביאליסטאוק	776069
ויניזיאה	3164603
נוא יארק	-1
ביאליסטק	776069
באזיליא	-1
ביאליסטוק	776069
ווטצען	-1
ווייטצען	-1
וואטצען	-1
ליווערפול	-1
מארגרעטען	673816
ברוקלין	-1
קלוז	681290
רחובות	-1
סלוניק	734077
כלכלתא	-1
מינץ	-1
קליינווארדיין	-1
לעמבורג	702550
איידטקוהנען	-1
יאהאנניסבורג	-1
פיליפפופולי	728193
ביליסטוק	776069
מיכאלאווצע	-1
קאששויא	724443
קאלאמעאה	-1
ניויורק	-1
ניויארק	-1
סנקט-פטרבורג	498817
זולצבך	-1
טובינגען	2820860
בראדי	711416
אלעקסניץ	-1
פרנקפורט דאדר	2925535
אופי באך	6559110
שלוניקי	734077
שדה לבן	712165
פריבורג	-1
קארעץ	-1
פאריצך	-1
סלאפקוויץ	-1
שאלניקי	734077
פראנקפורט דאדר	2925535
האנוואה	-1
באזיליאה	-1
ונציה	3164603
שאמלויא	-1
דעעש	-1
אראדע גראסעארדיין	671768
טרנוב	757026
פראנקפורט על המיין	2925533
איגלוי	-1
ווניציאה	3164603
טאלטשווא	-1
לודז	3093133
ווראנוב	-1
ארשיווא	-1
קאשיצע	724443
ברעסלא	3081368
צרפנד	-1
ווילהמרשדארף	-1
ריווא דטרינט	-1
ניו-יורק	-1
מארמאראשסיגעט	667227
הרובשוב	-1
טבריה	293322
פראנקפורט ע'נ מיין	2925533
עין חרוד	-1
טשרנוביץ	-1
אלגיר	-1
טארנאוו	757026
מגנצא	3060972
קארקא	3094802
רמת-גן	-1
איסטנבול	-1
מעקסיקע	3530597
פאדגורזע אצל קראקא	3094802
הידרנום	-1
בארדיאב סלאוואקיי	-1
לוק	-1
מאטעסאלקא	-1
אמסטערדאם	2759794
טרנא	757026
קונסענטימיקלאש	-1
ויניציא	3164603
באזיליה	-1
סאטומארע	-1
קושטאנציא	-1
אמשטרדאם	2759794
פראגה	3067696
פירארא	-1
אויגפשורג	-1
וויניציא	3164603
אדריאנופולי	747712
פזרו?	-1
קרקא	3094802
ויניצייאה	3164603
יאססי	675810
פירדא	2923544
ליפסיא	2879139
פשעמיסל	761168
סט פטרבורג	498817
בברויסק	630468
"פרנקפורט ענ""מ"	2925533
שיקגו	4887398
פאקש...	-1
טהארן	-1
בודאפשט	3054643
טארנא	702550
קושטה	-1
האנובר	2910831
פרנקפורט	2925533
איטליה	-1
מ. סיגעט	667227
פאדגורדא	-1
אוזהאראד	690548
נו-יארק	-1
ליעדז	2644688
מעזובוש	-1
ווילמרש דארף	-1
נעזין	-1
קונסטאנטינופולי	-1
מוקצ'בו	700646
איסמירנה	311046
קלויזנבורג	681290
פרעמיסלא	761168
מאהלוב	-1
מאראמאראשסיגעט	667227
יאראסלויא	770380
ברוקלין-ניו-יארק	-1
בראנזוויל	-1
בארטפעלד בארדיאב	-1
פרזעמישל	761168
דיהרנפארט	-1
ברסלוי	3081368
פיערטקוב	-1
מוונקאטש	709611
סאניק	-1
בואינוס איירס	3435910
נויוארק	-1
באלטימאר	4347778
אונגוואר	690548
זלאטשוב	686896
העדרנום	-1
דמשק	170654
ריווה	-1
קושדאנדינא	-1
טרין	-1
פלשתינה	-1
האנוויא	-1
ריגייו	-1
בסיל	-1
לונדריש	2643743
אמשטילרדם	2759794
באקוי	-1
אודיסה	698740
קוונא	598316
פארדגורזש	-1
סינסינטי	-1
דעטראיט	-1
טיסאלוניקי	734077
סניאטין	-1
קושטנטינה	-1
רימינו	6541863
פריז	2988507
פרעססבורג	3060972
קושטנדינה	-1
דיהרן פורט	-1
ורשא	756135
גרבא	-1
קושטנטינא	-1
אלונים	-1
בלוגראדו	792680
וואיטצען	717582
אופן באך	6559110
דובראוונא	-1
מעזירוב	-1
בוקארעשט	683506
מינקאווץ	-1
בלגורייא	775922
איזנא	-1
איזנה	-1
בלגרד	792680
"קלוז""ש-קלויזענבורג"	681290
בוקאווסק	-1
ליידן	2751773
וווארשא	756135
אמשטילרדאם	2759794
טורקא	690960
פיעטרקאב	-1
אלטאנא	-1
בילסקו	-1
טירנויא	3057124
סטניסלאב	707471
סאנט לואיס	-1
בילגוריי	775922
וין	-1
קאלקמעא	-1
בעקלעאן	-1
לאמזא	766027
יאס	675810
נא אמון-אלכסנדריאה	347342
סט. לואיס מא	-1
קאוונה	598316
קיידאן ליטא	598272
גראייעווא	-1
סעאיני	-1
פאדגארזע	-1
ק. טשארדא	667227
קידן	598272
פרעסברוג	3060972
יערוסלב	770380
זאקלווא	-1
פיראר	-1
אוביבך	6559110
הלברשטאטט	593116
חארבין	-1
פרגא	3067696
טורינו	3165524
ג'רבא	-1
טריעסט	-1
נאווי דווהר	-1
מישקאלץ	717582
קאששא	724443
אוהעלי	-1
לונדענבורג	-1
קבנה	598316
קלוזש	681290
ריו דע זשאנעירא	-1
בוסטון	4930956
באטושאן	-1
וארשה	756135
אראדעא	671768
אזימרינה	311046
פילדלפיה	-1
פעסט	3054643
הרובישוב	-1
מעזירטש	-1
ברונא	3078610
בילגוראדו	792680
ורנקבורט דמיין	2925533
קיש-קערעש	-1
סופ'יאה	727011
פראגא	3067696
בואנאס איירעס	3435910
מאנטרעאל	6077243
פשמישל	761168
טאללין	588409
אטלאנטא	-1
הילדעסהיים	-1
וואשינגטאן	-1
דרעזדען	2935022
מונאטש	700646
יוזעפאב	-1
לאס אנגעלעס	-1
מוסקווע	524901
פילאדעלפיא פא.	-1
נייארק	-1
קאונאס	598316
פילאדעלפיא	-1
זולבצאך	-1
פוד ברעזיץ	-1
פאריצק	-1
מיהאליוויטץ	-1
קעשענעוו	-1
קאונס	598316
נייפעסט	3054643
דארפאט	588335
אונוואר	690548
והראן	2485926
וארשא	756135
סאלוניק	734077
אוסטראה	-1
למבערג	702550
דאר לביצא	2553604
הרצליה	-1
באלטימאר מד.	4347778
זולקווא	-1
פדואה	3171728
בוקורעשט	683506
דווינסק	-1
אדריאנופלה	747712
סטרי	-1
שונצין	-1
פעטערבורג	498817
ווארשויא	756135
לוצין	457776
קיווע	703448
פעטראגראד	498817
ויניצייה	3164603
עדמאנטאן	-1
פדובה	3171728
פאדגארזע אצל קראקא	3094802
דוקלא	-1
לעמברעג	702550
"פ""ב"	3060972
האמברוג	2911298
פיזרו	-1
טהראן	112931
"ס""ט פאטרבורג"	498817
מנטואה	3174051
פרנקפורט דאדאר	2925535
בודאפסט	3054643
"ורנקנורט ע""נ מוין"	2925533
גאלאנטהא	-1
טאנכיר	-1
טורנא	3057124
עדעלין	-1
צובה	-1
פיטערקוב	-1
האלבערשטאדט	-1
טשקינט	-1
יקטרינוסלב	709930
קיוב	703448
וואללשטיין	-1
יוזעפף	-1
קאשוי	724443
פאזעוואלק	-1
אנטוורפן	2803138
ואיטצען	-1
פיעטרקאוו	-1
פריש	2988507
ויינא	-1
נירנבערג	2861650
סוליש	-1
באטאשאן	-1
זשענעוו	-1
ברן	3094802
ראטטרדם	-1
סובאלק	-1
קלויזענבורג	681290
בעטלען	-1
ורשו	756135
קוינס	-1
זאבלטוב	-1
"ס""ט-פטרבורג"	498817
וויעננא	-1
נאוואהרדאק	-1
מנשסתר	-1
יאלעוויטץ	-1
גנווא	-1
בומבאי	-1
זאלקווה	-1
"פראנקפורט ע""נ מיין"	2925533
דיהרנפרט	-1
פאנעוועז	596130
גרבה	-1
מוסקבה	524901
סט. פטרסבורג	498817
וילנא	593116
ברלין-שרלוטנבורג	593116
בבל	98182
פרנקפורט אדר	2925535
נתניה	-1
אודססא	698740
סלוצק	-1
נירן בורג	2861650
מעזירטש גדול	-1
ורנקבורט	2925533
פראנקפרט	2925533
סאטו מארע	-1
באהסלב	-1
"פא""ס"	-1
בוקורישט	683506
קלוזש קלויזענבורג	681290
פראנקפורט א' מ'	2925533
ראדוויל	-1
מאנשעסטער	-1
בוענאס-אירעס	3435910
דראהביטש	709611
ני יורק	-1
גליניאני	702550
מוקאטש	700646
וניזייה	3164603
"פרנקפורט ע""נ מיין"	2925533
מיהאלעוויטץ	-1
וורשוי	756135
סופ'ייה	727011
וארשע	756135
מאסקוויע	524901
מאנטריאל	6077243
קצנטינה	-1
פעטראגרד	498817
האג	2747373
ליססא	3093524
ווילהרמרשדארף	-1
בואינוס אייריס	3435910
נייטרא	3058531
פולנאי	-1
ברדיטשב	712441
קארלסרוהע	2892794
קלוזענבורג	681290
ציריך	-1
מודינא	6541461
נו יורק	-1
ברוקפיעלד	-1
לידה	2751773
וורשע	756135
געטינגין	2918632
"ס""ט פטרסבורג"	498817
קושטאנטי	-1
מוגאדור	2549263
ווראשא	756135
הג	2747373
בודפשט	3054643
אנוירשה	2803138
יאווארזנא	-1
לאשצוב	-1
לובאטשוב	-1
באריס	2988507
בערעזנא גדול	-1
פיעט ...	-1
סוואליווע	-1
מעזריטש	-1
ברלין תל אביב	-1
קושטאנטינא	-1
הורדאדנא	627904
בערעגסאס	712423
"פפד""מ"	2925533
טיהינגן	-1
לפסיה	2879139
יאהאנניסבערג	-1
"פפענ""מ"	2925533
קוסטאנטינה	-1
רעדלעלהיים	-1
גוזלוו	688105
טריאסטי	-1
לייפסיג	2879139
גיססן	-1
בודפסט	3054643
רמת יוחנן	-1
קאטאוויץ	-1
לינעוול	-1
עוופאטאריא	688105
קרוטושין	-1
הנאפר	2910831
עאליה	-1
קאפענהאגען	-1
סיגוט	667227
צאנז	-1
הורדאנא	627904
קוסטאן	-1
ארם צובא	-1
קופנהגן	-1
וורשווא	756135
גאלאנטא	-1
דירהנפורט	-1
קיירי	-1
קונסטאנטינופולה	-1
באקארעשט	683506
טשרנוביץ'	-1
ויניצאה	3164603
קושאנדינא	-1
סופיא	727011
ייאמבולי	-1
קלעא	-1
גוזלוב	688105
יוופאטורייא	688105
אלקהירה	360630
ווילהרמשדארף	-1
לנדן	2643743
באלטימארע	4347778
פיטסבורג פא.	5206379
אמסטרדאם	2759794
קיניגשבערג	554234
ראגענדארף	-1
יוזעפוף	-1
קיירה	360630
פיטריקוב	756135
בענדין	-1
טשרנאוויץ	-1
תוניס	2464470
קליבלנד	-1
ווינה	-1
בוקרסט	683506
צ'רנוביץ	-1
טראבלס גרב	-1
ארג'יל	-1
בענדר	-1
בראילוב	698740
מנסשתר	-1
גלאגוי	-1
בולגראדו	792680
ייאסע	675810
גטבורג	2711537
מעזיבוז	-1
טירנור	3057124
אורטה קייואי	-1
בווינוס איירס	3435910
באג'דאד	98182
קרימוני	6541851
ברדטשב	712441
זסלב	-1
וויטצען	-1
אטוואצק	762788
לאחוויץ	-1
ברלין-שרלטנבורג	-1
קנטאבריגיא	-1
שאראי	-1
זאמאשטש	753866
בודא-פעסט	3054643
אוסטרובצה	-1
בריסל	2800866
בסיליאה	2923544
פראנק פורט דאדר	2925535
דעברעצען	721472
קוסטנטינא	-1
ניו יארק.	-1
רדום	760778
טשענסטאכאוו	7532537
ס' פטרבורג	498817
אראדעא רומניא	671768
שלוניקו	734077
איסטאמבול	-1
קונסטאנטינופלי	-1
קוספלי	-1
קונסטאנטיפולה	-1
אליקסאנדריאה	347342
קאנסטאנטינופלה	-1
בוענאס-איירעס	3435910
שאלוניק	734077
סטאמבול	-1
קוסנסטאנטינופלה	-1
מעמעל	598098
בוקאריסט	683506
"קאב""אלה"	734077
טיסאלוניקו	734077
קיב	703448
פאדובאה	3171728
פירנצי	3176959
וואיצען	-1
נעוו יארק	-1
טיסאלוניקיי	734077
פ'יליפפופולי	728193
קולונייה	727011
סופייה	727011
סופי'ייה	727011
פריסבורג	3060972
סאראייב'ו	-1
גראססוארדיין	671768
קעשינעוו	-1
אויבערווישא	-1
הלברשטט	-1
מנשסטר	-1
קונסטאנטינפלה	-1
פיליפופולי	728193
אזמירנה	311046
סעיאיני	-1
קארלזרוהע	2892794
סופ'ייאה	727011
זאלק'	-1
טאטאר באזארג'יק	-1
קושטאנטינופולי	-1
סילאדי-שאמלוי	-1
קושטנאדינה	-1
תסלוניקי	734077
ברסלויא	3081368
עדן	-1
גראסווארדיין	671768
תיסאלוניקי	734077
טורנו סיווירין	678817
סט' לואיס	-1
פאס	-1
שנגהי	-1
פאדגוזע	-1
האננאפער	2910831
ורנקפורט דמיין	2925533
וויניפעג	6183235
מאינץ	-1
קישינעוו	-1
קושטאנדינא אורטה קואי	-1
באטשאן	-1
מילהויזן	-1
פולטוה	696643
קסאנטי	-1
סטאניסלוי	707471
דובנא רבתי	709540
אתינא	-1
שקלאו	3067696
פאדגרוזע	-1
קאונע	598316
ריוא דטרינט	-1
מגדיאל	-1
פרעמישל	761168
לונדריס	2643743
אלטדורף	-1
